Tiempo (s),Temperatura 1 (°C),,,,,,T°
2.33,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.34,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.35,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.36,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.37,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.38,26.99,26.99,26.99,26.99,26.98,26.98,26.98
2.39,26.99,26.99,26.99,26.99,26.99,26.99,26.98
2.4,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.41,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.42,26.98,26.99,26.99,26.99,26.99,26.99,26.99
2.43,26.98,26.98,26.99,26.99,26.99,26.99,26.99
2.44,26.99,26.98,26.99,26.99,26.99,26.99,26.99
2.45,26.98,26.99,26.99,26.99,26.99,26.99,26.99
2.46,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.47,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.48,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.49,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.5,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.51,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.52,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.53,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.54,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.55,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.56,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.57,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.58,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.59,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.6,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.61,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.62,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.63,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.64,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.65,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.66,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.67,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.68,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.69,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.7,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.71,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.72,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.73,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.74,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.75,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.76,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.77,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.78,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.79,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.8,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.81,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.82,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.83,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.84,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.85,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.86,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.87,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.88,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.89,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.9,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.91,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.92,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.93,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.94,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.95,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.96,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.97,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.98,26.99,26.99,26.99,26.99,26.99,26.99,26.99
2.99,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.01,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.02,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.03,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.04,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.05,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.06,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.07,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.08,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.09,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.1,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.11,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.12,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.13,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.14,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.15,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.16,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.17,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.18,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.19,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.2,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.21,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.22,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.23,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.24,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.25,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.26,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.27,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.28,26.99,26.99,26.99,26.99,26.99,26.99,26.99
3.29,27,27.00,27.00,27.00,27.00,27.00,27.00
3.3,27,27.00,27.00,27.00,27.00,27.00,27.00
3.31,27,27.00,27.00,27.00,27.00,27.00,27.00
3.32,27,27.00,27.00,27.00,27.00,27.00,27.00
3.33,27,27.00,27.00,27.00,27.00,27.00,27.00
3.34,27,27.00,27.00,27.00,27.00,27.00,27.00
3.35,27,27.00,27.00,27.00,27.00,27.00,27.00
3.36,27,27.00,27.00,27.00,27.00,27.00,27.00
3.37,27,27.00,27.00,27.00,27.00,27.00,27.00
3.38,27,27.00,27.00,27.00,27.00,27.00,27.00
3.39,27,27.00,27.00,27.00,27.00,27.00,27.00
3.4,27,27.00,27.00,27.00,27.00,27.00,27.00
3.41,27,27.00,27.00,27.00,27.00,27.00,27.00
3.42,27,27.00,27.00,27.00,27.00,27.00,27.00
3.43,27,27.00,27.00,27.00,27.00,27.00,27.00
3.44,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.45,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.46,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.47,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.48,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.49,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.5,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.51,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.52,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.53,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.54,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.55,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.56,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.57,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.58,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.59,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.6,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.61,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.62,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.63,27.01,27.01,27.01,27.01,27.01,27.01,27.01
3.64,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.65,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.66,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.67,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.68,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.69,27.02,27.02,27.02,27.02,27.02,27.02,27.02
3.7,27.02,27.02,27.02,27.02,27.02,27.02,27.02
