Tiempo (s),Temperatura 1 (°C),,,,,,T°
8.7,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.71,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.72,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.73,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.74,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.75,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.76,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.77,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.78,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.79,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.8,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.81,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.82,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.83,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.84,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.85,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.86,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.87,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.88,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.89,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.9,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.91,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.92,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.93,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.94,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.95,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.96,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.97,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.98,27.15,27.15,27.15,27.15,27.15,27.15,27.15
8.99,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.01,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.02,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.03,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.04,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.05,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.06,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.07,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.08,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.09,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.1,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.11,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.12,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.13,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.14,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.15,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.16,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.17,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.18,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.19,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.2,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.21,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.22,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.23,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.24,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.25,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.26,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.27,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.28,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.29,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.3,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.31,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.32,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.33,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.34,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.35,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.36,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.37,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.38,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.39,27.15,27.15,27.15,27.15,27.15,27.15,27.15
9.4,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.41,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.42,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.43,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.44,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.45,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.46,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.47,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.48,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.49,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.5,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.51,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.52,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.53,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.54,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.55,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.56,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.57,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.58,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.59,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.6,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.61,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.62,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.63,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.64,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.65,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.66,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.67,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.68,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.69,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.7,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.71,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.72,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.73,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.74,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.75,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.76,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.77,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.78,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.79,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.8,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.81,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.82,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.83,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.84,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.85,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.86,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.87,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.88,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.89,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.9,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.91,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.92,27.17,27.16,27.16,27.16,27.16,27.16,27.16
9.93,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.94,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.95,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.96,27.16,27.16,27.16,27.16,27.16,27.16,27.16
9.97,27.17,27.16,27.16,27.16,27.16,27.16,27.16
9.98,27.16,27.17,27.17,27.17,27.17,27.17,27.17
9.99,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.01,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.02,27.16,27.17,27.17,27.17,27.17,27.17,27.17
10.03,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.04,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.05,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.06,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.07,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.08,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.09,27.16,27.17,27.17,27.17,27.17,27.17,27.17
10.1,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.11,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.12,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.13,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.14,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.15,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.16,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.17,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.18,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.19,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.2,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.21,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.22,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.23,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.24,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.25,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.26,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.27,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.28,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.29,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.3,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.31,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.32,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.33,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.34,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.35,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.36,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.37,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.38,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.39,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.4,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.41,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.42,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.43,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.44,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.45,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.46,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.47,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.48,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.49,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.5,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.51,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.52,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.53,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.54,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.55,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.56,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.57,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.58,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.59,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.6,27.18,27.17,27.17,27.17,27.17,27.17,27.17
10.61,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.62,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.63,27.17,27.17,27.17,27.17,27.17,27.17,27.17
10.64,27.17,27.17,27.17,27.17,27.17,27.17,27.18
10.65,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.66,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.67,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.68,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.69,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.7,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.71,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.72,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.73,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.74,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.75,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.76,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.77,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.78,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.79,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.8,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.81,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.82,27.19,27.18,27.18,27.18,27.18,27.18,27.18
10.83,27.18,27.18,27.18,27.18,27.18,27.18,27.18
10.84,27.19,27.18,27.18,27.18,27.18,27.18,27.18
10.85,27.18,27.18,27.18,27.19,27.19,27.19,27.19
10.86,27.18,27.19,27.19,27.19,27.19,27.19,27.19
10.87,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.88,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.89,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.9,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.91,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.92,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.93,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.94,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.95,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.96,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.97,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.98,27.19,27.19,27.19,27.19,27.19,27.19,27.19
10.99,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.01,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.02,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.03,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.04,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.05,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.06,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.07,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.08,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.09,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.1,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.11,27.2,27.19,27.19,27.19,27.19,27.19,27.19
11.12,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.13,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.14,27.19,27.19,27.19,27.19,27.19,27.19,27.19
11.15,27.2,27.19,27.19,27.19,27.19,27.20,27.20
11.16,27.19,27.20,27.20,27.20,27.20,27.20,27.20
11.17,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.18,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.19,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.2,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.21,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.22,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.23,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.24,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.25,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.26,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.27,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.28,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.29,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.3,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.31,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.32,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.33,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.34,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.35,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.36,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.37,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.38,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.39,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.4,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.41,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.42,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.43,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.44,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.45,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.46,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.47,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.48,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.49,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.5,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.51,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.52,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.53,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.54,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.55,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.56,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.57,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.58,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.59,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.6,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.61,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.62,27.21,27.20,27.20,27.20,27.20,27.20,27.20
11.63,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.64,27.2,27.20,27.20,27.20,27.20,27.20,27.20
11.65,27.2,27.20,27.20,27.21,27.21,27.21,27.21
11.66,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.67,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.68,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.69,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.7,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.71,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.72,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.73,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.74,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.75,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.76,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.77,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.78,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.79,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.8,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.81,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.82,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.83,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.84,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.85,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.86,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.87,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.88,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.89,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.9,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.91,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.92,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.93,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.94,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.95,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.96,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.97,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.98,27.21,27.21,27.21,27.21,27.21,27.21,27.21
11.99,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.01,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.02,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.03,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.04,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.05,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.06,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.07,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.08,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.09,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.1,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.11,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.12,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.13,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.14,27.21,27.21,27.21,27.21,27.21,27.21,27.21
12.15,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.16,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.17,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.18,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.19,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.2,27.21,27.22,27.22,27.22,27.22,27.22,27.22
12.21,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.23,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.24,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.25,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.26,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.27,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.28,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.29,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.3,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.31,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.32,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.33,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.34,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.35,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.36,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.37,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.38,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.39,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.4,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.41,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.42,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.43,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.44,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.45,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.46,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.47,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.48,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.49,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.5,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.51,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.52,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.53,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.54,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.55,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.56,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.57,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.58,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.59,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.6,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.61,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.62,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.63,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.64,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.65,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.66,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.67,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.68,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.69,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.7,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.71,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.72,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.73,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.74,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.75,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.76,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.77,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.78,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.79,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.8,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.81,27.22,27.22,27.22,27.22,27.22,27.22,27.22
12.82,27.23,27.22,27.22,27.22,27.22,27.22,27.22
12.83,27.23,27.23,27.23,27.22,27.22,27.22,27.22
12.84,27.22,27.23,27.23,27.23,27.23,27.23,27.23
12.85,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.86,27.22,27.23,27.23,27.23,27.23,27.23,27.23
12.87,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.88,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.89,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.9,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.91,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.92,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.93,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.94,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.95,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.96,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.97,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.98,27.23,27.23,27.23,27.23,27.23,27.23,27.23
12.99,27.23,27.23,27.23,27.23,27.23,27.23,27.23
13,27.23,27.23,27.23,27.23,27.23,27.23,27.23
13.01,27.23,27.23,27.23,27.23,27.23,27.23,27.23
13.02,27.23,27.23,27.23,27.23,27.23,27.23,27.23
13.03,27.23,27.23,27.23,27.23,27.23,27.23,27.23
13.04,27.23,27.23,27.23,27.23,27.23,27.23,27.23
13.05,27.23,27.23,27.23,27.23,27.23,27.23,27.23
