"nR","V"
"137",6.53528010468576e-05,4.79921284877125e-07
"138",6.5283904845414e-05,4.80926913834765e-07
"139",6.53023872235182e-05,4.81929323725983e-07
"140",6.53500570617706e-05,4.82933343150412e-07
"141",6.53539640360242e-05,4.84272035716318e-07
"142",6.53553313253012e-05,4.84939759036145e-07
"143",6.54136182915891e-05,4.84933267292272e-07
"144",6.54427611895344e-05,4.84930021485512e-07
"145",6.5489108354222e-05,4.85932391142108e-07
"146",6.54173557425219e-05,4.88276674497835e-07
"147",6.54776763363275e-05,4.89618612869975e-07
"148",6.54622196341439e-05,4.89950001003996e-07
"149",6.54765707515913e-05,4.90953996907693e-07
"150",6.55204413565993e-05,4.91957992811389e-07
"151",6.55345445905063e-05,4.92289363069262e-07
"152",6.55939453366844e-05,4.92284420586926e-07
"153",6.56380974054007e-05,4.92615783115192e-07
"154",6.56228766197259e-05,4.92276183336903e-07
"155",6.56524660495686e-05,4.92272888514079e-07
"156",6.57567552372666e-05,4.92604243357205e-07
"157",6.56954303747059e-05,4.93271891868376e-07
"158",6.56606708408769e-05,4.95283097794986e-07
"159",6.56428385935205e-05,4.96290371699067e-07
"160",6.56705168363352e-05,4.96958014577435e-07
"161",6.56678961776064e-05,4.97627318300772e-07
"162",6.569759186938e-05,4.97622322393674e-07
"163",6.5758301792712e-05,4.97622322393674e-07
"164",6.57272869649024e-05,4.97617326586887e-07
"165",6.5787776123149e-05,4.97615661340249e-07
"166",6.58181306784908e-05,4.97615661340249e-07
"167",6.58009825049862e-05,4.97945306330063e-07
"168",6.57619978248138e-05,4.99958169497197e-07
"169",6.57202807031634e-05,5.01972752918971e-07
"170",6.57159242489651e-05,5.02642049922863e-07
"171",6.57159242489651e-05,5.02642049922863e-07
"172",6.58203788852301e-05,5.02971648863545e-07
"173",6.58201586212666e-05,5.02969965698988e-07
"174",6.58197180977622e-05,5.02966599403668e-07
"175",6.58323683444378e-05,5.03297872696425e-07
"176",6.58590885665906e-05,5.03972211253372e-07
"177",6.58364845645445e-05,5.04977829833515e-07
"178",6.58180251449835e-05,5.05309091882594e-07
"179",6.58613928413669e-05,5.05642041575756e-07
"180",6.57817426136192e-05,5.05978375448002e-07
"181",6.58633701999498e-05,5.07320337990463e-07
"182",6.57824350282108e-05,5.09333315485473e-07
"183",6.58864637121468e-05,5.11346333399148e-07
"184",6.58042925363345e-05,5.11677559475405e-07
"185",6.58278611610295e-05,5.12346856479297e-07
"186",6.58395842327012e-05,5.12681504981243e-07
"187",6.58315934957717e-05,5.13350801985135e-07
"188",6.58235780737568e-05,5.14021819155344e-07
"189",6.58116186224575e-05,5.13683731452169e-07
"190",6.58851863130595e-05,5.14013218438886e-07
"191",6.58908775123652e-05,5.16026263126544e-07
"192",6.57985181764334e-05,5.17031935506541e-07
"193",6.5841106214088e-05,5.17366584008487e-07
"194",6.59042249373371e-05,5.17366584008487e-07
