P ( kPa ),ln(v/v?),V ( m3 )
127.689,0.483847392194791,0.0001542
127.262,0.485791027403362,0.0001545
127.262,0.486438067218883,0.0001546
127.384,0.486438067218883,0.0001546
126.896,0.489667001248055,0.0001551
126.164,0.494170064502209,0.0001558
126.164,0.495452938315099,0.000156
126.286,0.494811707129292,0.0001559
126.164,0.495452938315099,0.000156
125.919,0.497374168492993,0.0001563
125.675,0.499291714622264,0.0001566
125.492,0.500568038981869,0.0001568
125.431,0.50184273641387,0.000157
125.37,0.50184273641387,0.000157
125.004,0.505022389331249,0.0001575
124.516,0.507558852327158,0.0001579
124.332,0.509456986399115,0.0001582
123.905,0.512612558597925,0.0001587
123.478,0.516386147981564,0.0001593
123.295,0.51826761608127,0.0001596
123.051,0.519519964397736,0.0001598
122.684,0.52201996569982,0.0001602
122.562,0.523890873635632,0.0001605
122.501,0.524513732578223,0.0001606
122.318,0.525758287810428,0.0001608
122.013,0.528242761138089,0.0001612
121.647,0.531339697648623,0.0001617
121.708,0.531957935689953,0.0001618
121.769,0.531957935689953,0.0001618
121.83,0.531957935689953,0.0001618
121.952,0.531957935689953,0.0001618
121.891,0.531957935689953,0.0001618
121.952,0.531957935689953,0.0001618
121.586,0.533810359807192,0.0001621
120.731,0.540573373595568,0.0001632
120.06,0.54546335888976,0.000164
119.572,0.549115219308531,0.0001646
119.327,0.551542404966142,0.000165
118.839,0.555172173016721,0.0001656
118.473,0.558788813486909,0.0001662
118.412,0.559390317264444,0.0001663
118.412,0.55999145945267,0.0001664
118.29,0.56059224048606,0.0001665
118.168,0.562392420990208,0.0001668
118.107,0.562991761733351,0.0001669
118.168,0.562991761733351,0.0001669
118.107,0.563590743482317,0.000167
118.046,0.56538553905834,0.0001673
117.862,0.566580282330683,0.0001675
117.679,0.568369725098667,0.0001678
117.618,0.569560910468821,0.000168
117.435,0.570750678604409,0.0001682
117.191,0.573125976633317,0.0001686
116.703,0.575495645988635,0.000169
116.642,0.576087186970096,0.0001691
116.642,0.576087186970096,0.0001691
116.764,0.576678378237685,0.0001692
116.825,0.576678378237685,0.0001692
116.398,0.579629103305742,0.0001697
115.726,0.58491856612314,0.0001706
115.238,0.589013336395636,0.0001713
114.75,0.591927940615717,0.0001718
114.689,0.593091407879015,0.000172
114.566,0.594253523059192,0.0001722
114.689,0.594253523059192,0.0001722
114.75,0.594253523059192,0.0001722
114.628,0.594253523059192,0.0001722
114.811,0.594253523059192,0.0001722
114.75,0.594253523059192,0.0001722
114.566,0.595994167536976,0.0001725
114.2,0.600043927193896,0.0001732
114.139,0.600043927193896,0.0001732
114.2,0.600043927193896,0.0001732
114.261,0.600043927193896,0.0001732
114.261,0.600043927193896,0.0001732
114.322,0.600043927193896,0.0001732
114.322,0.600043927193896,0.0001732
113.773,0.603502143896853,0.0001738
113.285,0.608094574471063,0.0001746
113.285,0.609239394286997,0.0001748
113.224,0.609811313090118,0.0001749
113.224,0.610382904989076,0.000175
113.285,0.610382904989076,0.000175
113.285,0.609811313090118,0.0001749
113.285,0.609811313090118,0.0001749
113.407,0.609811313090118,0.0001749
112.98,0.612666011003644,0.0001754
112.308,0.617216644567641,0.0001762
112.308,0.618351074638253,0.0001764
112.308,0.618351074638253,0.0001764
112.308,0.618351074638253,0.0001764
112.308,0.618917807438913,0.0001765
112.308,0.619484219235421,0.0001766
112.125,0.621181532231301,0.0001769
111.82,0.624004000941041,0.0001774
111.637,0.625693666226167,0.0001777
111.393,0.626818525737351,0.0001779
111.454,0.626256254145366,0.0001778
111.576,0.626818525737351,0.0001779
111.332,0.628503446102271,0.0001782
110.66,0.632982736906317,0.000179
110.538,0.634657311676649,0.0001793
110.66,0.634657311676649,0.0001793
110.66,0.634657311676649,0.0001793
110.477,0.636329086933661,0.0001796
110.355,0.637442053103081,0.0001798
110.416,0.637442053103081,0.0001798
110.355,0.637442053103081,0.0001798
110.294,0.638553781955772,0.00018
109.684,0.643541323466811,0.0001809
109.378,0.645750048826367,0.0001813
109.439,0.646301468746598,0.0001814
109.5,0.646301468746598,0.0001814
109.5,0.645750048826367,0.0001813
109.561,0.646301468746598,0.0001814
109.5,0.646301468746598,0.0001814
109.439,0.647403397232755,0.0001816
109.012,0.650701915891419,0.0001822
108.768,0.651799008705793,0.0001824
108.829,0.651799008705793,0.0001824
108.829,0.651799008705793,0.0001824
109.012,0.651799008705793,0.0001824
108.89,0.651799008705793,0.0001824
108.951,0.651799008705793,0.0001824
108.402,0.656175383305591,0.0001832
107.73,0.661619054886768,0.0001842
107.425,0.663788253134313,0.0001846
107.547,0.663788253134313,0.0001846
107.669,0.663788253134313,0.0001846
107.486,0.664871090273145,0.0001848
107.364,0.666493150645013,0.0001851
106.998,0.668651813113051,0.0001855
106.937,0.669729399424222,0.0001857
107.059,0.669729399424222,0.0001857
107.059,0.6702677574453,0.0001858
106.693,0.672955208673104,0.0001863
106.326,0.676170645527079,0.0001869
106.265,0.676705547920148,0.000187
106.388,0.676705547920148,0.000187
106.449,0.676705547920148,0.000187
106.449,0.676705547920148,0.000187
106.265,0.678308540515604,0.0001873
105.777,0.682038893895511,0.000188
105.472,0.683633366728668,0.0001883
105.533,0.684694937953627,0.0001885
105.167,0.687872906729973,0.0001891
104.74,0.69104080800653,0.0001897
104.495,0.692621003226048,0.00019
104.251,0.694724053422827,0.0001904
104.007,0.697346661797263,0.0001909
104.007,0.697870359112191,0.000191
104.129,0.697870359112191,0.000191
104.068,0.698393782311789,0.0001911
103.763,0.70152858111716,0.0001917
103.214,0.705693084793401,0.0001925
103.03,0.707250313242007,0.0001928
103.03,0.708287119970447,0.000193
102.664,0.710357514084755,0.0001934
102.786,0.711391105908038,0.0001936
102.786,0.711391105908038,0.0001936
102.847,0.711391105908038,0.0001936
102.847,0.711391105908038,0.0001936
102.847,0.711907501478512,0.0001937
102.298,0.716543100817466,0.0001946
101.932,0.720133768948195,0.0001953
101.871,0.720645670674244,0.0001954
101.932,0.720645670674244,0.0001954
101.993,0.720645670674244,0.0001954
101.688,0.722690661161972,0.0001958
101.077,0.727276656460575,0.0001967
101.077,0.727784915683715,0.0001968
101.077,0.727784915683715,0.0001968
101.138,0.728292916710641,0.0001969
101.199,0.728292916710641,0.0001969
101.321,0.728292916710641,0.0001969
101.382,0.728292916710641,0.0001969
