P ( kPa ),lnV,V ( m3 )
130.8630,0.458230227824491,1.50E-04
130.8630,0.458230227824491,1.50E-04
130.8630,0.458230227824491,1.50E-04
130.8020,0.458895342581301,1.50E-04
130.6800,0.460224246431355,1.51E-04
130.3750,0.462214296839365,1.51E-04
130.2530,0.462876767880486,1.51E-04
130.2530,0.463538800344256,1.51E-04
130.0090,0.464200394810994,1.51E-04
129.8260,0.466842404273833,1.52E-04
129.1540,0.470792376493147,1.52E-04
128.8490,0.474726807797982,1.53E-04
128.6050,0.475381044000578,1.53E-04
128.4830,0.4766882337292,1.53E-04
128.4220,0.477341188372053,1.53E-04
128.2390,0.478645819998718,1.53E-04
128.0560,0.479948751779133,1.54E-04
128.1170,0.479297498092814,1.54E-04
128.1780,0.479948751779133,1.54E-04
127.6890,0.483847392194791,1.54E-04
127.2620,0.485791027403362,1.55E-04
127.2620,0.486438067218883,1.55E-04
127.3840,0.486438067218883,1.55E-04
126.8960,0.489667001248055,1.55E-04
126.1640,0.49417006450221,1.56E-04
126.1640,0.495452938315099,1.56E-04
126.2860,0.494811707129293,1.56E-04
126.1640,0.495452938315099,1.56E-04
125.9190,0.497374168492993,1.56E-04
125.6750,0.499291714622264,1.57E-04
125.4920,0.500568038981869,1.57E-04
125.4310,0.50184273641387,1.57E-04
125.3700,0.50184273641387,1.57E-04
125.0040,0.505022389331249,1.58E-04
124.5160,0.507558852327158,1.58E-04
124.3320,0.509456986399115,1.58E-04
123.9050,0.512612558597925,1.59E-04
123.4780,0.516386147981565,1.59E-04
123.2950,0.51826761608127,1.60E-04
123.0510,0.519519964397736,1.60E-04
122.6840,0.52201996569982,1.60E-04
122.5620,0.523890873635632,1.61E-04
122.5010,0.524513732578223,1.61E-04
122.3180,0.525758287810428,1.61E-04
122.0130,0.52824276113809,1.61E-04
121.6470,0.531339697648623,1.62E-04
121.7080,0.531957935689953,1.62E-04
121.7690,0.531957935689953,1.62E-04
121.8300,0.531957935689953,1.62E-04
121.9520,0.531957935689953,1.62E-04
121.8910,0.531957935689953,1.62E-04
121.9520,0.531957935689953,1.62E-04
121.5860,0.533810359807192,1.62E-04
120.7310,0.540573373595568,1.63E-04
120.0600,0.54546335888976,1.64E-04
119.5720,0.549115219308531,1.65E-04
119.3270,0.551542404966142,1.65E-04
118.8390,0.555172173016721,1.66E-04
118.4730,0.55878881348691,1.66E-04
118.4120,0.559390317264444,1.66E-04
118.4120,0.55999145945267,1.66E-04
118.2900,0.56059224048606,1.67E-04
118.1680,0.562392420990208,1.67E-04
118.1070,0.562991761733351,1.67E-04
118.1680,0.562991761733351,1.67E-04
118.1070,0.563590743482317,1.67E-04
118.0460,0.56538553905834,1.67E-04
117.8620,0.566580282330683,1.68E-04
117.6790,0.568369725098667,1.68E-04
117.6180,0.569560910468821,1.68E-04
117.4350,0.570750678604409,1.68E-04
117.1910,0.573125976633317,1.69E-04
116.7030,0.575495645988635,1.69E-04
116.6420,0.576087186970096,1.69E-04
116.6420,0.576087186970096,1.69E-04
116.7640,0.576678378237685,1.69E-04
116.8250,0.576678378237685,1.69E-04
116.3980,0.579629103305742,1.70E-04
115.7260,0.584918566123141,1.71E-04
115.2380,0.589013336395636,1.71E-04
114.7500,0.591927940615717,1.72E-04
114.6890,0.593091407879015,1.72E-04
114.5660,0.594253523059192,1.72E-04
114.6890,0.594253523059192,1.72E-04
114.7500,0.594253523059192,1.72E-04
114.6280,0.594253523059192,1.72E-04
114.8110,0.594253523059192,1.72E-04
114.7500,0.594253523059192,1.72E-04
114.5660,0.595994167536976,1.73E-04
114.2000,0.600043927193896,1.73E-04
114.1390,0.600043927193896,1.73E-04
114.2000,0.600043927193896,1.73E-04
114.2610,0.600043927193896,1.73E-04
114.2610,0.600043927193896,1.73E-04
114.3220,0.600043927193896,1.73E-04
114.3220,0.600043927193896,1.73E-04
113.7730,0.603502143896853,1.74E-04
113.2850,0.608094574471064,1.75E-04
113.2850,0.609239394286997,1.75E-04
113.2240,0.609811313090118,1.75E-04
113.2240,0.610382904989076,1.75E-04
113.2850,0.610382904989076,1.75E-04
113.2850,0.609811313090118,1.75E-04
113.2850,0.609811313090118,1.75E-04
113.4070,0.609811313090118,1.75E-04
112.9800,0.612666011003644,1.75E-04
112.3080,0.617216644567641,1.76E-04
112.3080,0.618351074638253,1.76E-04
112.3080,0.618351074638253,1.76E-04
112.3080,0.618351074638253,1.76E-04
112.3080,0.618917807438913,1.77E-04
112.3080,0.619484219235421,1.77E-04
112.1250,0.621181532231301,1.77E-04
111.8200,0.624004000941041,1.77E-04
111.6370,0.625693666226167,1.78E-04
111.3930,0.626818525737351,1.78E-04
111.4540,0.626256254145366,1.78E-04
111.5760,0.626818525737351,1.78E-04
111.3320,0.628503446102271,1.78E-04
110.6600,0.632982736906317,1.79E-04
110.5380,0.634657311676649,1.79E-04
110.6600,0.634657311676649,1.79E-04
110.6600,0.634657311676649,1.79E-04
110.4770,0.636329086933661,1.80E-04
110.3550,0.637442053103082,1.80E-04
110.4160,0.637442053103082,1.80E-04
110.3550,0.637442053103082,1.80E-04
110.2940,0.638553781955772,1.80E-04
109.6840,0.643541323466811,1.81E-04
109.3780,0.645750048826367,1.81E-04
109.4390,0.646301468746598,1.81E-04
109.5000,0.646301468746598,1.81E-04
109.5000,0.645750048826367,1.81E-04
